"","","","",""
"Crops","MSP 2014-15","MSP 2023-24","Cost* KMS 2023-24","Increase in MSP over 2022-23"
"Paddy -Common","2183","2040","1455","143"
"Paddy-Grade A^","2203","2060","-","143"
"Jowar-Hybrid","3180","2970","2120","210"
"Jowar- Maldandi^","3225","2990","-","235"
"Bajra","2500","2350","1371","150"
"Ragi","3846","3578","2564","268"
"Maize","2090","1962","1394","128"
"Tur /Arhar","7000","6600","4444","400"
"Moong","8558","7755","5705","803"
"Urad","6950","6600","4592","350"
"Groundnut","6377","5850","4251","527"
"Sunflower Seed","6760","6400","4505","360"
"Soybean (Yellow)","4600","4300","3029","300"
"Sesamum","8635","7830","5755","805"
"Nigerseed","7734","7287","5156","447"
"Cotton (Medium Staple)","6620","6080","4411","540"
"Cotton (Long Staple) ^","7020","6380","-","640"